ID,Short,Type,Category,Subcategory,Priority,Indicator,Description,Assessment details,Assessment,Comment
CA-RDA-F1-01A,F1-01A,Archive,Findable,F1,Essential,Archive is identified by a persistent identifier,This indicator evaluates whether or not the archive is identified by a persistent identifier. A persistent identifier ensures that the archive will remain findable over time andreduces the risk of broken links.,"The persistence of an identifier is determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsedFAIRsharing",0.0,no archive available
CA-RDA-F1-01M,F1-01M,Model,Findable,F1,Essential,Model is identified by a persistent identifier,This indicator evaluates whether or not the model is identified by a persistent identifier. A persistent identifier ensures that the model will remain findable over time andreduces the risk of broken links.,"The persistence of an identifier is determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsedFAIRsharing",1.0,
CA-RDA-F1-01MA,F1-01MA,Archive metadata,Findable,F1,Essential,Metadata of archive is identified by a persistent identifier,This indicator evaluates whether or not the metadata of archive is identified by a persistent identifier. A persistent identifier ensures that the metadata of archive will remain findable over time and reduces the risk of broken links.,"The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing.",0.0,no archive available
CA-RDA-F1-01MM,F1-01MM,Model metadata,Findable,F1,Essential,Metadata of model is identified by a persistent identifier,This indicator evaluates whether or not the metadata of model is identified by a persistent identifier. A persistent identifier ensures that the metadata of model will remain findable over time and reduces the risk of broken links.,"The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing.",0.5,some metadata is available on the BioModels webpage + within the annotations in the SBML model file
CA-RDA-F1-02A,F1-02A,Archive,Findable,F1,Essential,Archive is identified by a globally unique identifier,"The indicator serves toevaluate whether the identifier of the archive is globally unique, i.e. that there are no two people that would use that same identifier for two different digital objects.",Global uniqueness of identifiers should beevaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to different resources or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identifier used for the data is listed in a registry service like the RDA-endorsed FAIRsharing,0.0,
CA-RDA-F1-02M,F1-02M,Model,Findable,F1,Essential,Model is identified by a globally unique identifier,"The indicator serves toevaluate whether the identifier of the model is globally unique, i.e. that there are no two people that would use that same identifier for two different digital objects.",Global uniqueness of identifiers should beevaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to different resources or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identifier used for the data is listed in a registry service like the RDA-endorsed FAIRsharing,1.0,"we have the MODEL id in the webpage, but it is not in the metadata nor the SBML file"
CA-RDA-F1-02MA,F1-02MA,Archive metadata,Findable,F1,Useful,Metadata of archive is identified by a globally unique identifier,"The indicator serves to evaluate whether the identifier of the metadata of archive is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing.",0.0,
CA-RDA-F1-02MM,F1-02MM,Model metadata,Findable,F1,Important,Metadata of model is identified by a globally unique identifier,"The indicator serves to evaluate whether the identifier of the metadata of model is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing.",0.0,"some metadata is available on the BioModels webpage + within the annotations in the SBML model file, but not in a separate file"
CA-RDA-F2-01MA,F2-01MA,Archive metadata,Findable,F2,Essential,Rich metadata of archive is provided to allow discovery,"The indicator is about the presence of the archive metadata, but also about how much archive metadata is provided and how well the provided archive metadata supports discovery.",This indicator can be evaluated by verifying that metadata is provided. The amount of metadata to be provided may also be part of the metadata policy of the repository where the data is published,0.0,
CA-RDA-F2-01MM,F2-01MM,Model metadata,Findable,F2,Essential,Rich metadata of model is provided to allow discovery,"The indicator is about the presence of the model metadata, but also about how much model metadata is provided and how well the provided model metadata supports discovery.",This indicator can be evaluated by verifying that metadata is provided. The amount of metadata to be provided may also be part of the metadata policy of the repository where the data is published,0.5,the SBML model is annotated quite richly; it would be better to separate the metadata of the model by the model itself
